■'!——,——•	52115:63566:6498:269
carll's	43979:3112:6275:673
opera	51024:3146:5109:673
house	56853:3163:5605:689
friday	43756:5081:5407:673
evening	49932:5114:6498:841
fer	57225:5148:3051:689
24	61070:5165:1661:824
appearance	45095:6477:4489:538
of	50056:6494:818:538
the	51445:6494:1041:403
renowned	53157:6494:3819:420
comedian	57572:6494:3844:572
sol	43384:7605:3175:1245
smith	47154:7621:6598:1228
hussell	54422:7655:8731:1261
in	46286:9489:917:454
his	47799:9523:1041:420
famous	49312:9540:2877:521
original	52809:9556:3125:538
creation	56555:9573:3026:420
of	59929:9590:744:538
tom	45194:10684:3844:504
dilloway	50031:10700:11211:639
in	43284:11996:818:403
j	44698:12013:545:403
e	46013:12013:620:386
brown's	47328:12013:2802:403
new	50627:12046:1463:386
comedy	52760:12046:2530:521
drama	55885:12046:2430:420
in	58862:12097:694:386
four	59705:12097:1661:521
acts	61888:12164:1389:420
entitled	52115:12619:2455:386
edgewood	45616:13527:8905:706
folks	55389:13561:5432:706
tickets	44227:15513:2604:403
of	47154:15529:669:386
admission	48245:15529:3472:403
1	52239:15563:744:471
(	53132:15967:148:168
76c	53901:15597:1339:420
60c	55836:15613:1091:370
and	57448:15580:1240:403
25c	59259:15630:1289:370
seats	61491:15613:1810:386
now	43309:16186:1389:269
on	45194:16219:818:252
sale	46559:16085:1265:386
at	48345:16152:644:319
loomis	49535:16101:2703:403
temple	52561:16101:2579:538
of	55687:16135:669:386
music	56729:16135:2207:403
2oc	59854:16186:1141:353
extra	61442:16219:1810:336
for	43260:16623:967:386
reserved	44525:16640:2976:386
seat	47824:16724:1488:319
fine	43408:17649:4316:824
cut	48617:17700:3869:790
flowers	53157:17733:9922:841
choice	45740:18810:2877:504
roses	49039:18827:2728:639
lily	52413:18861:1661:639
of	54521:18861:892:487
tlie	55786:18894:1314:454
valley	57522:18861:3100:689
extra	43235:19618:2505:504
dark	45988:19635:2232:487
violets	48493:19652:3323:639
hyacinths	52264:19685:4688:639
c	57374:19702:1661:605
to	59432:19786:843:403
order	60673:19719:2505:504
robert	44946:20594:5382:605
veitch	51048:20627:5085:622
&	56878:20644:892:622
son	58490:20644:2827:807
no	43384:21570:2058:504
4,28	46112:21587:2381:504
chapel	49436:21603:6350:504
street	56729:21637:6424:538
evening	43260:22546:5233:555
wear	49114:22562:3497:538
:—	53082:22747:1190:353
gent's	45715:23219:2530:454
white	48717:23219:2505:454
kid	51718:23235:1438:437
gloves	53678:23235:2976:471
75c	57299:23269:1438:454
gent's	45740:23774:2505:454
opera	48741:23774:2406:555
shades	51619:23791:3001:538
1.00	55141:23774:2480:572
black	45740:24329:2356:437
hose	48617:24346:2182:521
at	51321:24380:793:403
50c	52561:24363:1537:437
black	45839:24867:2257:454
and	48617:24901:1413:420
white	50577:24901:2480:437
satin	53554:24901:2158:454
ties	56233:24918:1885:454
—	51941:25776:595:50
at	52661:25608:1537:302
xjoieib	49411:26163:5903:504
3	55736:26197:248:185
s	56431:26197:967:504
281	44921:26853:2108:504
ohapel	48047:26870:6424:504
street	55216:26903:6250:538
urbanity	43235:28132:6201:555
is	49858:28148:1141:555
the	51470:28148:2381:555
prime	54273:28165:3795:572
factor	58663:28216:4564:588
at	52636:29141:1091:386
ct	44053:29915:967:504
.	45343:30336:297:84
j_l	46484:29932:2257:504
g	49436:29949:1339:504
ir	51123:29949:1339:504
i	52785:29966:793:487
if	53926:29966:992:487
1	54918:29982:248:201
if	55513:29982:992:487
1	56505:29982:248:218
x	57126:29982:793:487
ust	58242:29999:1562:504
3s	60201:30016:2058:689
tonsorial	43284:30773:11509:757
rooms	56158:30840:7094:1026
under	46807:31900:2579:454
the	49858:31917:1240:437
new	51594:31951:1736:420
haven	53777:31934:2629:471
house	56853:31951:2728:471
moriarty's	48196:33432:9946:538
quiet	43260:34845:3224:1665
house	47675:34862:4018:1716
temple	54719:34895:4737:1901
bar	60474:34946:2678:1716
1862	45616:37470:2926:521
established	50279:37503:6002:420
1876	58043:37554:2827:538
86	43284:38748:1091:605
court	44971:38748:3571:605
st	49163:38765:1537:622
35	54819:38816:1066:588
temple	56530:38833:4489:639
st	61615:38866:1637:639
thomas	46311:39994:4762:689
w	51817:40027:1587:656
williams	54199:40044:6052:723
the	47526:41743:1637:336
choicest	49709:41760:3894:353
cuands	54174:41794:3199:336
op	57944:41811:1017:336
wines	43483:42988:4737:673
liquors	49039:43005:6151:656
&	56059:43056:892:521
cigars	57870:43056:5357:588
bass's	44103:44385:2455:454
burton	47055:44402:2976:487
and	50403:44419:1463:454
pale	52363:44419:1860:454
ales	54670:44435:2356:471
on	57349:44587:942:302
draught	58639:44469:3720:572
welch	43359:45681:2753:487
rarebits	47055:45681:3993:656
golden	51792:45714:3075:487
buckp	55712:45731:2852:622
eggs	59308:45765:2207:673
on	62235:45967:967:319
toast	45269:46640:2430:487
and	48097:46656:1537:471
sardines	50304:46656:3671:504
served	54347:46707:2703:471
to	57473:46825:793:370
order	58663:46724:2306:487
fashionable	44872:48440:6746:454
tonsorial	52214:48474:5382:487
rooms	58143:48524:3398:487
charles	43284:49618:7515:521
e	51644:49651:1165:521
reese	53554:49668:5506:673
prop	59705:49719:3621:673
326	47501:50694:1389:403
chapel	49535:50610:4415:504
street	54521:50644:4365:504
shaving	45194:51603:3224:639
shampooing	48915:51603:4638:639
and	53975:51637:1364:487
hair	55910:51654:1711:471
gutting	58043:51654:3075:656
rooms	43284:52848:2232:370
newly	45839:52831:2009:471
furnished	48171:52831:3299:370
and	51768:52848:1240:370
remodeled	53281:52865:3770:370
open	58167:52899:1711:454
