morrissey's	11367:61595:4652:577
lyrics	2484:62213:1903:556
—	4652:62482:634:41
new	5525:62296:1453:391
york	7375:62296:1559:412
times	9358:62296:1982:433
critic	11658:62296:1744:453
robert	13746:62296:2299:474
palmer	2484:62894:2511:474
heralded	5578:62935:2907:453
renaissance	10680:62977:4150:453
poetry	17632:35376:2141:515
in	20117:35376:608:412
pop,	21043:35480:1348:433
citing	22708:35376:1876:556
the	28233:51198:1031:453 27467:37460:1031:453 29978:56685:1268:453 17712:54581:1031:453 24770:40224:1189:412 17659:44288:1004:453 17685:60769:1031:453 24902:35376:1004:433 30163:47093:1004:433 30137:36759:1031:474 23713:59408:1031:453 30137:41585:1004:453 25801:44308:1268:453 30216:61471:1031:453 23422:44989:1031:453
singer's	26198:35376:2617:556
use	29106:35500:1163:330
of	22549:44989:634:453 26647:37439:660:453 30560:35397:608:433 24241:58067:660:495 30533:45030:634:453 17712:62812:608:453 26251:50497:634:453 23343:41565:634:453 21201:58707:634:453
words	17632:36016:2273:474
like	21122:36037:1427:453
"charming"	23766:36057:4837:577
and	29819:36078:1348:453 19298:50455:1216:453 27995:43628:1189:453 22840:49775:1189:453 30031:55303:1216:474 24744:58707:1216:453 26118:49115:1216:453 29952:46392:1216:453
"gruesome."	17685:36717:4309:556
and,	22735:36738:1533:536
let's	24638:36738:1401:453
not	26409:36779:1031:433
forget	27810:36759:1982:556
deliberate	17606:37398:3410:474 19192:60068:3357:474
understatement	21228:37419:5234:474
group's	28683:37460:2458:556
name	17579:38223:1903:330
—	21651:47279:634:82 29106:56231:634:61 24611:46598:634:82 19721:38367:634:41 23713:56211:634:61
a	26726:54746:343:309 24321:41008:396:330 19483:56768:396:330 18478:60212:396:309 20620:38223:343:330 24321:62275:396:309
mini-rebellion	21360:38079:4652:515
against	26330:38141:2432:556
rock's	29106:38141:2035:453
traditional	17579:38780:3515:474
emphasis	21571:38821:3145:556
on	27255:51322:793:309 25140:38945:740:330 27810:52704:766:330 20567:58150:793:330
individualtiy.	26330:38821:4388:577
these	17606:39481:1982:453
guys	19800:39585:1559:474
are	21598:39605:1083:330
god.	22946:39481:1506:474
all	18293:40162:925:453
derision	19536:40162:2670:474
aside,	22470:40183:1956:536
smiths	26251:40224:2247:433
was	28788:40327:1268:330
an	30348:40327:793:330 27757:58170:793:330
excellent	17606:40863:3013:453
debut,	20805:40863:2035:556
but	23105:40863:1031:474
bit	24902:40863:872:474
repetitive.	25986:40884:3357:556
side	29740:40884:1401:453
two's	17606:41544:1744:453
collection	19774:41565:3172:453 17685:58707:3172:453
singles	22126:58707:2326:556 24347:41565:2273:556
made	27044:41585:1824:453
it	29952:44350:475:433 29264:41585:449:453
more	17606:42349:1744:330
entertaining	19615:42246:4097:556
side.	23924:42246:1480:453
by	18320:42926:872:556 24797:44308:819:577
comparison,	19747:42926:4071:556
meat	24374:42988:1665:412
is	17685:60089:528:433 30586:44350:555:433 21148:53220:528:453 24294:57345:555:453 30718:58748:502:453 26621:42988:449:412 30612:42968:528:433
murder	27625:43009:2484:391
something	17659:43607:3436:556
to	24426:60130:581:412 21307:43628:634:433 19324:44989:608:453 23607:60811:634:412 22364:44329:608:433 24982:45690:634:433 29449:51941:608:412
shout	22126:43628:1771:433
about.	24109:43607:2009:474
far	26541:43628:1242:453
away	29370:43751:1797:453
best	18901:44288:1348:453
thing	20487:44308:1665:556
date	23184:44308:1401:453
smiths,	27255:44329:2458:556
sure	17632:45092:1453:330
be	20197:44968:766:453
one	21175:45113:1163:330 17712:62152:1268:433
brightest	24664:44989:2987:577
albums	27890:45010:2405:474
'85.	17712:45670:1004:453
their	19747:48413:1586:453 20963:49094:1586:453 19113:45670:1824:453 26013:47753:1586:433
willingness	21095:45670:3701:577
experiment	25748:45711:3806:536
with	29714:45711:1453:474
unfamiliar	17659:46351:3727:453
genres	22047:46454:2299:474
rockabilly,	25510:46371:3727:577
white	17659:47052:1797:433
funk	19906:47052:1480:453
elevates	22523:47052:2722:453
them	25669:47052:1691:453
above	27784:47072:1929:453
sameness	17632:47836:3251:350
that	21281:47733:1321:453
infested	22999:47733:2617:453
first	27969:47753:1374:453
l.p.	29740:47774:1004:556
also,	17659:48413:1639:536
self-production	21704:48413:4969:556
handily	27070:48434:2484:577
emphasizes	29952:48578:845:330 17659:49094:2828:556
musical	23025:49094:2590:474
vocal	27810:49135:1718:453 27070:50517:1771:433
virtuosity;	17659:49775:2537:577 30004:49156:898:433
guitar	20620:49775:2035:577 27599:59429:2009:556
bass	24215:49775:1453:474
parts	25880:49837:1691:536
leap	27810:49816:1374:577
out	29344:49878:1004:412
at	30533:49857:634:433
you,	17659:50579:1374:453
morrissey's	20699:50476:3912:556
bag	24849:50476:1189:577
tricks,	29053:50517:2114:536
from	17659:51157:1639:453
his	19483:51157:951:433 30269:51899:898:453
impassioned	20646:51157:4150:556
yodels	24955:51177:2114:556
opening	17685:51858:1031:536 29423:51322:1427:433
cut,	18901:51879:1189:515 25880:61491:1189:495
"the	20382:51838:1639:453
headmaster	22259:51838:4071:474
ritual,"	26541:51879:2696:536
disarming	17685:52518:3410:577
trademark	21333:52539:3542:453
falsetto	25114:52560:2484:453
"well	28841:52580:1876:453
i	30956:52621:237:412 19219:62152:264:412
wonder,"	17685:53199:3198:556
most	21941:53261:1612:412
