one	4551:14935:1323:416
of	13239:42099:634:458 9901:27497:661:437 15059:18414:661:458 4109:19789:606:458 9957:23976:634:458 13294:28184:661:458 6123:14935:634:437 15059:34454:634:458
reasons	8329:15060:2620:312
recent	13542:14956:2178:437
off-broadway	1517:15602:4716:562
success	6730:15748:2592:333
that,	10867:15644:1544:520
like	12935:15644:1241:437 14453:35163:1213:437
defense	1517:16310:2758:437
budget,	4661:16310:2509:562
shepard's	9433:16331:3420:562
reputation	1517:16998:1296:458 13239:16352:2151:562
gotten	4551:17039:2123:520
fatter	6950:17019:1930:458
every	9157:17144:1958:437
year.	11418:17144:1737:437
beginning	3392:17685:3365:583
better	7805:17706:2068:458
not	10122:17748:1048:416 5019:19143:1020:416
described—	11418:17706:4302:458
just	1489:18393:1351:562
imagine	3613:18393:2840:562
an	7226:18518:827:354 4109:42224:799:333
endless	8798:18393:2565:479
desert	12163:18414:2151:458
dialogue,	1517:19102:3144:562
broken	6399:19102:2372:458
single	10894:19123:2041:541
cactusneedle	13239:19164:2151:395 1517:19789:2234:458
wit.	5047:19810:1241:437
may	6702:19810:1517:541 11363:26809:1517:541 7171:23310:1489:541 3365:40725:1517:562
(carla	8633:19831:2151:416
power	11143:19831:2234:437 7447:28872:2178:458
berkeley	1544:20477:3144:562
dramat	5075:20477:2730:437
production)	8219:20456:3971:562
been	14177:20435:1572:416
living	1517:21185:1958:562
alone	3806:21185:1820:458
western	7557:21227:2813:416
fiesty	4992:21893:1930:541
mood,	7336:21893:2068:541
decides	9874:21893:2565:458
to	10508:24726:606:416 8109:22643:606:395 12080:40745:606:416 13184:30309:606:395 12853:21956:606:395 4744:24726:606:395 6371:25414:606:416
come	13846:22039:1847:312
back,	1517:22560:1820:562
presumably	3695:22601:4137:541
practice	9019:22622:2840:541
roping	12163:22622:2206:541
bed	1517:23247:1213:458
frame.	3144:23289:2289:437
says,	9074:23414:1737:437
"this	11281:23289:1654:458
ain't	13349:23310:1572:437
mercedes	1517:23955:3337:458
benz	5516:23997:1682:416
type	11418:42141:1489:520 7860:24018:1461:520
motel."	11225:23997:2620:458
she	5626:28184:1130:437 14508:23997:1186:437 14590:25393:1130:437 14590:24705:1130:437 13708:26080:1130:458
pretends	1517:24664:3006:562 3144:25372:2951:541
be	7198:25372:772:437 5626:24684:772:437
indifferent	6619:24684:3640:437
him,	11336:24705:1517:520
also	1517:25372:1379:437
wagon.	10481:25497:2399:437
but	11584:29559:1103:458 13184:25414:1186:416
soon	1517:26184:1517:333
falls	3365:26059:1489:458
off	5185:26080:910:437
wagon,	7805:26184:2399:458
because	5295:40725:2758:437 10591:26080:2785:458
about	1517:26768:1930:458
witless	4744:26788:2399:437
lasso.	9129:26809:1875:437
gets	13156:26809:1406:541
all	14839:26809:827:437
flustered	1517:27476:3061:437
face	7916:27497:1461:437
her	11115:27497:1103:437
cowboy;	12770:27497:2840:541
everything	1517:28184:3751:541
does	7088:28184:1489:458 11115:35163:1489:437
parody	10536:28184:2427:562
selfassertion.	14259:28184:1186:458 1517:28872:3337:458
carla	5240:28872:1847:458
lacks	9957:28872:1765:458
proper	13404:28997:2289:458
ruggedness	1517:29559:3944:562
weariness;	7419:29580:3723:541
there	13018:29580:1792:437
enough	1517:30267:2427:562
weariness	4220:30267:3447:437
dialogue	10012:30267:2923:562
compensate.	14011:30392:1296:333 1517:30976:2840:541
ed	6068:31663:992:437
vesneska,	7447:31663:3447:541
jr.,	11281:31684:1186:520
tough	13791:31663:1875:562
slim.	3806:32350:1958:437
he	7916:40037:937:416 4302:36537:799:437 6702:32371:965:416 10095:35163:772:416 8412:40725:799:437
swigs	8522:32371:2234:541
down	11612:32371:2013:437
(presumably)	1599:33059:4688:541
colored	6812:33059:2537:437
water	9764:33100:2013:395
tequila	14839:33100:579:395 1517:33746:1682:562
bottle	3723:33746:1930:458
was	11032:33892:1296:312
thing,	1517:34454:1958:541
always	5350:34454:2399:562
teeters	8081:34496:2372:395
edge	13184:34454:1572:541
being	1517:35142:1875:541
stir-crazy.	3613:35142:3530:562
even	7419:35163:1765:437
if	9433:35163:468:416
look	12825:35163:1406:437
bowery	2123:35850:2620:562
boy	4992:35871:1296:520
dropped	6509:35850:2785:562
into	9488:35871:1296:437
cactus	11556:35892:2206:416
plantation,	13984:35850:1379:562 1517:36537:2178:520
fills	5654:36537:1296:437
enormous	9157:36683:3365:312
boots	1517:37204:1765:458
set	8109:37267:992:416
out	9322:37267:1075:416
him	11887:37246:1323:437
proudly	1517:37933:799:541 13460:37246:1847:541
halfway	2234:38621:2923:562
through	1517:40016:2675:562 5461:38621:2647:562
play,	9819:38641:1654:541
gardener	12522:38621:3144:562
named	1489:39308:2344:458
martin	4109:39329:2344:437
(bradford	6812:39329:3420:479
martin),	10508:39329:2896:541
slinks	13680:39329:1985:437
door.	5847:40016:1737:458
late	10039:40037:1268:437
date	14177:40016:1489:437
forgot	9598:40725:2068:541
turn	13073:40745:1406:416
some	1517:41516:1765:354
sprinklers	3558:41412:3502:562
at	7336:41433:661:437
local	8964:41412:1599:458
high	10839:41412:1461:562
school	12577:41412:2123:458
hardly	1517:42099:2234:562
upwardly-mobile	5240:42099:5874:562
guy.	14177:42204:1434:437
may	17514:25997:1517:541 22369:39954:1517:541
retreats	19335:25997:2730:416
into	22369:25997:1296:416
the	17431:37225:1020:437 30643:26684:1048:437 27444:39225:1048:437 23968:25976:1020:437 30671:29455:1048:458 18231:29455:1268:458 26478:32954:1048:437 17514:28059:1048:458 17431:38600:1020:437 21458:34329:1075:437 25375:31559:1048:437
bathroom	25320:25976:3309:437
and	28933:25976:1268:437 28933:29455:1241:458 24134:39912:1268:458 27637:37808:1351:458
eddie	30505:25976:827:437 17514:26663:1020:437
toys	19004:26684:1379:541
around	20852:26684:2427:437
with	23748:26684:1461:437 22231:33642:1461:437 21817:32246:1461:437
him.	25678:26684:1517:437
this	27719:26684:1461:437
