in	12745:29733:593:443 13313:24331:593:423
new	20021:31809:1419:403 14139:24351:1419:423
york	3741:32434:1625:443 15764:24351:1599:423
city.	17596:24371:1470:524
he	8307:29733:748:423 19325:24391:877:403 16512:31104:748:423
bigot,	3844:24935:1806:564
chauvinist,	6605:24976:3560:524
hothead,	12513:24996:2786:524
but	15583:25016:1006:443
sympathetic	17519:25056:3999:524
character	3844:25641:3199:443
nonetheless.	7404:25661:3921:443
this	11765:25681:1393:423
unusual	13545:25701:2476:443
hero	16435:25701:1419:443
forms	18267:25722:1883:423
the	20537:25722:980:443 3766:29693:1006:423 13597:29733:980:443 18602:31789:980:423 9443:29048:1006:443 18035:29753:980:443
center	3844:26347:2064:403
of	17596:31789:619:423 8643:29048:619:443 6140:26326:619:443 17183:29753:645:443
smith's	9469:26347:2425:443
latest	12152:26347:1780:443
novel,	14164:26387:1935:524
blue.	18602:26407:1599:423
smith,	4463:26992:2115:544
himself	7017:27012:2399:443
for	13571:27032:903:443
eighteen	14887:27052:2709:544
years,	18009:27173:1986:423
has	20382:27052:1109:443 18318:33140:1083:423
written	3818:27677:2373:443
complex,	6888:27697:2941:463
strongly	10036:27697:2657:483
realistic	12874:27717:2657:443
novel	15712:27717:1702:443
about	17596:27717:1806:443
an	19583:27838:748:322
unsophisticated	3741:28302:4412:544 20511:27858:696:302
middle-aged	8824:28282:4128:564
whose	16925:28383:2012:443
crude	19608:28423:1883:443
understanding	3792:29007:4670:584
world	10604:29048:1831:463
does	12616:29048:1419:463
not	14216:29108:980:403
provide	15403:29048:2451:564
answers	18035:29209:2683:322
to	11662:32495:593:383 20898:29149:593:403 13132:30459:593:423
problems	5031:29693:3018:544
must	9288:29753:1599:423
face	11146:29733:1341:443
course	14809:29854:2141:322
book.	19299:29753:1651:463
byrnes'	4412:30419:2476:544
enraged	7224:30419:2657:544
reaction	10165:30439:2683:423
traffic	14732:30439:2012:423
fine	17054:30439:1238:423
gets	18576:30459:1315:524
him	20202:30439:1238:423 13958:32455:1212:423
arrested	3766:31084:2734:443
calls	17777:31104:1496:443
on	19789:31205:748:342
childhood	3766:31749:3096:463
friend,	7275:31769:2141:524
jack	9856:31769:1522:443
haggerty,	4412:33120:3250:524 11816:31789:3225:524
chief	15506:31789:1702:423
fire	5624:32455:1393:423
department,	7250:32455:4128:544
bail	12487:32434:1212:443
out.	15454:32475:1161:403
smooth-talking	8875:33120:4850:544
workaholic,	14113:33120:3766:524
risen	19815:33140:1599:423
quickly	23195:21065:2373:564
to	26575:27193:593:423 25826:31225:593:423 40017:32656:593:423 25904:21126:593:403 38108:25943:593:403 29077:21750:593:423
the	37540:29935:980:423 30471:21146:1006:423 23014:29834:1006:423 39682:27274:980:423 26859:21105:1006:443 31838:25177:980:443 33180:24512:1006:443 23737:22395:1186:443
top	28200:21146:1006:524
of	36740:29915:593:443 36508:24552:645:423 29542:21126:619:443 38082:22537:619:443 39346:25258:645:423
fire	31838:21146:1135:423 23014:25762:1135:443
department	33309:21126:3818:544 24356:25782:3766:544
hierarchy,	37463:21126:3354:544
and	36173:31285:1161:423 29929:26508:1186:443 32896:32596:1186:423 27916:25157:1161:423 23092:21730:1186:383 29335:29189:1186:443 39527:23222:1161:423
is	32741:22496:516:423 25517:30539:516:423 23969:29169:516:423 32174:28544:516:423 24536:21730:490:403
now	25285:21831:1290:322
poised	26807:21730:2038:524
become	29955:21750:2451:423
commissioner.	32612:21750:4773:463
