"please	17072:22051:1349:419
do	18529:22071:391:399
not	19042:22111:512:359
discard	19663:22071:1268:399
sanity	21053:22071:1255:499
toil	23280:22051:539:419
get	24062:22071:580:399
out	24751:22071:526:399
bathroom	26424:22031:1646:419
...	28961:22351:526:99
dance,"	29623:22031:1349:459
to	17031:22731:323:419 20580:26229:296:379
benefit	17490:22691:1187:459
aurora,	18812:22731:1295:499
$3,	25506:22711:418:519
sushi	26073:22691:863:439
sold.	28327:22671:782:459
"essentially	17072:23391:2132:519
elllington,"	19325:23411:2024:519
a	20391:34406:175:319 21458:23511:188:299
jazz	21755:23391:755:419
cafe	22618:23391:755:419
night,	23482:23371:958:539
pierson	26883:23351:1322:439 24562:23371:1295:419
9:30	30297:23391:674:399
$4	22429:34986:337:459 21134:24070:337:479
movies	17058:25310:1498:499
"mr.	17072:26210:809:379
deeds	18178:26210:1012:379
goes	19487:26210:809:379
town,"	21147:26229:1255:439
medical	23725:26170:1349:419
school	25331:26150:1093:439 25277:28829:1079:439 20837:28848:1093:439
film	26694:26150:809:419 22227:28189:796:399 22065:28848:809:419
society,	22996:28848:1322:519 27760:26150:1336:519 23158:28189:1322:519
harkness	29380:26130:1592:439
auditorium,	26478:28829:1983:499 17045:26829:1997:519
7:30	19204:26889:688:379
&	25587:27509:242:419 20014:26849:242:419 28880:28829:229:419 26572:28169:229:419 28246:30168:242:419
10	20418:26889:310:379 29245:28868:310:379 25979:27529:296:379
w/ymsfs	22321:26829:1767:459
card.	18866:29508:863:439 30095:28129:863:439 24224:26809:850:439 18178:30848:863:439 29137:27469:863:439
"heavan	17072:27549:1525:379
can	18731:27549:647:379
wait,"	19528:27529:1106:459
spectrum	20783:27509:1646:539
films,	22564:27509:1093:499
sss	23806:27509:607:419
114,	24562:27549:580:459
w/sfs	27882:27469:1133:459
"that	17072:28209:998:399
sinking	18205:28209:1268:499
feeling,"	19582:28209:1619:499
lc	24602:28169:472:419
101,	25223:28209:566:459
7,	25911:28209:256:479
11	26950:28209:296:359
w/yfs	28786:28129:1214:459
"sanjuro,"	17072:28868:1889:519
law	19987:28868:728:399 24440:28868:715:399
w/ylsfs	17058:29508:1686:459
"chimes	17085:30188:1471:419
midnight,"	19217:30188:1862:519
people's	21242:30168:1444:559
flicks,	22848:30168:1133:519
berkeley	24157:30168:1525:519
10:30	28651:30188:823:399
w/pf	17058:30848:985:459
theater	17072:32107:1673:519
"the	17099:35666:836:399 19838:36326:836:399 17099:32987:836:399
castle,"	19811:32987:1390:459
by	23468:34286:404:539 21336:32947:391:559
bill	21862:32947:580:439
solly,	22564:32947:917:539
dramat	23630:32967:1336:419
children's	25074:32947:1727:439
theater,	26923:32947:1430:519 17625:33627:1430:519
davenport	28489:32947:1794:539
little	17058:33627:418:439 30392:32947:445:439
for	20985:33607:472:459 23711:33607:458:459
children,	21579:33607:1498:539
$2	23239:33647:323:459
