was	16352:46472:975:195 18490:44310:996:195
heartbreaker,	12513:44662:2220:338 20420:44232:1286:286
with	15024:44662:1099:286
elis	17493:44662:975:286 19984:46849:1016:273
on	18759:44753:581:195
short	20648:44675:1307:286
end	12534:45104:871:273
of	15315:45534:477:273 13675:45091:456:286
5-4	14899:45131:684:247
score.	15813:45170:1514:208
fraiiklin	17597:45104:2261:273
marshall,	20731:45117:933:260 12513:45534:1390:325
one	14173:45612:871:195
top	14796:47292:767:312 17078:45547:788:325
three	18116:45534:1328:273
teams	19714:45560:1535:260
in	14069:47279:435:260 21540:45547:415:260
country,	13945:45990:2365:312
had	16912:45964:996:273
just	18469:45964:1058:338
beaten	20108:45912:1826:338
princeton	12534:46407:2510:273
confident	17514:46394:2386:286
coming	20087:46420:1867:338
into	12534:46849:954:260
saturday's	13737:46823:2780:351
match.	16788:46836:1743:273
too	21229:46875:726:247
were	12534:47344:1245:208
form/having	15833:47240:3424:377
practiced	19527:47292:2427:338
hard	22868:42474:1203:286
since	24321:42487:1307:273
january	25857:42487:2158:325
2nd	28264:42461:871:286
in	25068:45964:456:260 26355:43776:435:273 30235:47696:415:247 29613:47253:415:260 29384:42474:456:273
preparation	30090:42539:1971:273 22868:42930:975:260
for	24072:42917:726:273
the	31563:48112:767:273 26417:45078:954:260 23429:43360:933:260 25006:42917:788:273 31563:45938:767:273 27102:43776:767:273 31584:50287:747:260 25628:49427:788:273 30277:47240:767:273
contest.	25981:42930:1992:260
squad's	24798:43347:1929:338
middle	27164:43334:1763:273
lineup	29343:43334:1556:338
performed	31335:43412:747:260 22889:43776:1867:286
well	25047:43776:1016:273
match,	25255:46394:1743:312 22910:48568:1784:325 28139:43776:1784:325
as	30214:43841:539:195
ming	31024:43776:1307:325
tsai	22889:44219:1079:273
'86,	24425:44219:788:325 30214:44206:788:299
chase	25608:44219:1556:273
lendfest	27558:44180:2220:299
and	25006:48568:913:273 27288:47253:933:273 31397:44180:933:286 22910:47709:913:286
john	22889:44662:1245:273
chittenden	24653:44636:2760:286
'86	27973:44649:622:260
all	29073:44636:664:273
won	30214:44714:1016:182
by	31729:44623:601:351 27081:45508:601:338
scores	22889:45157:1618:208
of	24715:45078:477:286 29779:48555:477:273
3-0.	25379:45104:809:247
other	27558:45078:1369:273
yale	29135:45065:1182:273
