the	7096:13133:709:269 8627:35353:731:269 6919:14573:709:269 8804:31005:731:284 7496:34859:731:284 8871:22804:731:299 9558:25698:975:284 10046:33419:731:269 6254:18981:731:284 2328:12204:731:284 3282:33449:731:269 5500:22354:731:269 4413:15532:754:284 4125:25728:754:284 6010:16972:731:269 3304:11229:754:284 5588:34379:731:299 7673:32460:731:284 3237:35848:731:269 3260:24273:754:299 10046:21365:731:269 10933:36298:731:299 11798:25203:754:299 6786:29086:953:284 5588:25233:731:284 5877:27647:731:269 13217:29536:731:284 6498:35833:731:284 11665:15487:731:299 10955:30526:754:269 8826:13583:953:284
country,	4280:11259:2018:284
and	5655:28142:842:269 4324:28621:842:269 8205:30526:842:284 3637:34394:864:299 7407:24258:864:284 6564:11199:842:284 10157:20390:842:284
adult	8338:11184:1219:284
americanization	9824:11154:4102:299
classes	2328:11709:1641:284
hundreds	5056:11679:2239:299
communities,	8405:11649:3237:344
through	11953:11634:1973:344
use	10157:28202:754:194 3393:12279:754:194
authoritative	5233:12159:3193:284
historical	8738:12129:2284:299 11643:28561:2284:299
films,	11377:12129:1286:329
was	12996:12204:931:209 9979:16072:909:194
made	2350:12669:1264:299 8360:33899:1308:284
today	3947:12669:1330:329
by	2373:35848:576:329 10623:14543:554:344 5610:12654:554:344 2350:33449:598:329
professor	6542:12639:2395:269 6364:21859:2373:269
frank	9314:12609:1485:299
e.	11155:12609:487:284
spaulding,	2328:13163:887:329 12042:12594:1618:359
chairman	3548:13133:2439:299
department	8139:13104:2927:344
educai	2084:13568:133:404 12197:13089:1441:269
tion,	2328:13643:1064:329
vale	11221:21350:1131:284 3814:13613:1131:299 12840:30975:1131:299 7141:16957:1153:269
university.	5389:13583:2727:344 2395:31500:2750:344
is	12729:13568:332:269
to	13461:13598:465:224 2350:36373:465:239 9913:33944:487:239 6453:23839:465:239 9203:21425:465:209 4435:34919:465:239 8560:16522:465:239 12397:16492:465:239
be	2328:14123:510:284 3082:36313:554:299
undertaken	3237:14093:2772:299
as	6387:14168:465:194 4790:34484:487:194 9225:33509:487:179 5455:19071:487:194
result	7939:14078:1375:269
arrangements	10534:14093:3393:314
perfected	2328:14588:2262:359
during	4923:14573:1641:329
last	8006:14558:842:269
year	9203:14633:1086:269
dr.	11598:14528:776:284
william	2328:15068:1064:284 12752:14513:887:284
h.	3681:15068:598:269
dudley,	4612:15053:1885:344
director	6830:15023:2106:299
instruction	2084:15547:1175:284 11931:15008:1752:284
extension	7185:26178:2328:299 5544:15502:2483:314
division	8427:15502:2062:284
university	8693:16927:2639:359 12774:15472:864:299 4369:26193:2483:344 2084:21859:1885:404 12774:21335:864:284 2084:16027:1929:344
wisconsin,	5366:15982:2705:344
who	8516:15982:1020:284
granted	11332:15982:1885:329
'	2084:16462:110:404
year's	2306:16492:1441:374
leave	4058:16492:1241:299
absence	6387:16477:1862:284
enable	9336:16462:1530:284
him	11155:16462:953:269
co.operate	2084:16987:2062:344 13173:16537:487:179
with	2350:31995:1108:299 4524:16972:1086:284
press	11754:16927:1352:299
'this	2084:17437:1108:314
work,	3504:17452:1397:344
ill	5256:17452:421:284
which	12441:18456:1441:284 5610:29551:1463:314 6010:17437:1463:284 9492:31470:1463:299
he	7784:17437:532:284
has	8649:17437:776:284
