1981.	19957:14295:1112:260
"i	21522:14282:494:260
would	12625:14660:1524:273
never,	14375:14751:1606:247
ever	16208:14764:1153:208
take	17526:14699:1112:273
thing	19977:14712:1276:338
on	21460:14777:576:208
by	12625:15076:617:351
myself,"-	13613:15102:2389:325
admits	16249:15115:1771:286
heath.	18412:15141:1668:273 18844:17730:1627:273
"but	20842:15141:1173:273
shaw	12625:15518:1379:273
knows	14231:15518:1585:286
it	16064:15544:350:273
inside	16641:15544:1503:286
out.	19503:15583:926:260
him	12625:15947:988:273
running	13881:15960:2018:351
all	16146:15973:638:273
it,	17032:19460:473:312 17794:15987:473:338
think	19009:16000:1297:273
it's	20554:16000:782:273
good	12625:16377:1194:351
hands."	14046:16390:1997:286
logistics	14540:16832:2141:338
assembling	18144:16858:2945:351
so	21501:16936:514:195 21028:18666:514:234
many	12625:17326:1441:273
different	14499:17248:2244:312
elements	17156:17287:2306:286
are	19874:17365:844:208
formidable,	21131:17300:679:273 12625:17691:2244:325
according	15199:17717:2553:351
woolsey	12645:18133:2100:338
stage	15034:18159:1379:312 17876:19030:1379:338
is	16702:18159:391:260 14622:20305:411:273
only	17382:18159:1070:325
half	18741:18159:1009:273
size	21069:18159:947:273
needed	12625:18562:1791:273
project,	16538:18588:1956:338
he	13778:20305:576:260 18721:18588:597:273
says,	19524:18666:1276:273
special	12625:18991:1771:351
temporary	14787:19004:2759:351
extension	19586:19017:2430:286
be	13716:19434:576:260
built	14458:19421:1153:286
onto	15755:19460:1091:260
thereby	17712:19447:1956:351
decreasing	19854:19460:1894:273 12625:19876:762:325
number	14705:19863:1997:286
seats	17691:19902:1297:260
available.	19236:19889:2533:273
but	12625:20305:865:260
savoring	15302:20318:2244:338
opportunity,	18844:20331:3151:338
calling	12625:20734:1730:338
"one	19277:20773:1153:260
greatest	12604:21177:2121:338
choral	15075:21177:1647:286
works	17135:21177:1482:286
20th	20986:21190:1009:273
century,	12625:21619:2121:338
without	14972:21606:1915:286
any	17094:21684:926:273
question."	18227:21619:2656:351
yale	31202:18952:1173:260 41376:20253:1173:260 39255:18601:865:182
daily	40305:18588:1009:195
news	41500:18588:1009:156
war	23067:18965:1318:247
requiem	24755:18952:2842:299
—	27783:19095:535:52
over	28504:18952:1235:260
400	30090:18978:762:234
and	32726:18952:906:260 40573:20695:926:247 25929:20695:906:247
new	34003:18965:1112:247 35012:20695:1091:247
haven	36392:20695:1606:247 35465:18965:1627:247
musicians	37483:18952:2553:260
will	38431:19824:906:260 26897:21554:906:260 37401:20266:885:247 40408:18952:906:260
collaborate	41664:18952:679:260 23067:19395:2121:260
in	31469:19824:432:260 23046:20266:453:247 25456:19395:453:260
a	26197:19460:247:195
performance	32273:20253:3315:325 26753:19395:3315:325 33632:21125:3315:325
of	37092:21125:494:247 30337:19395:473:260
benjamin	31119:19382:2450:338
britten's	33879:19395:2203:260 37751:21125:2203:260
masterpiece,	36412:19395:3295:325
"war	40037:19408:1379:247
requiem,"	41705:19395:576:260 23046:19824:2100:338
to	25208:20292:473:234 25332:19850:453:234
be	39522:19824:556:260 28009:21554:576:260 25970:19824:576:260
played	26691:19824:1709:325
on	28586:19902:556:182
april	29348:19824:1276:338
15	30852:19850:432:234
woolsey	32087:19824:2121:325
hall.	34373:19824:1215:260
the	41788:20695:762:247 33941:20695:762:247 29080:20266:782:247 35795:19824:926:260 40449:20253:782:260
stage	36907:19850:1338:299
extended	40243:19811:2306:273
order	23664:20253:1400:273
accomodate	25826:20253:3109:273
massive	30028:20253:2080:273
which	35753:20253:1462:260
