"the	28929:22727:2648:646 27897:7908:1728:367
purest	29917:7997:2177:352
and	32139:18640:1256:352 32363:7952:1256:338 34944:37192:987:279 28952:27431:965:264
safest	33957:7952:1975:338
natural	28884:8394:2715:367
spring	32004:8423:2311:411
water	34764:8423:2177:352
in	32700:8893:628:352 33508:9481:471:264 32520:22124:516:264
the	28256:25167:1548:617 33687:8893:1054:352 34338:9467:830:279 35079:28254:852:264
world."	35101:8893:2827:352
shipped	28031:9423:2154:352
anywhere	30523:9452:2625:323
country.	35528:9540:2199:279
write	29782:9819:1526:279
for	31600:9834:740:279
information.	32677:9834:3299:294
chippewa	29221:11510:2670:352 28637:10275:4668:441
springs	33620:10305:3590:411
corporation	29715:10848:6441:441
falls,	32183:11539:1391:323
wisconsin	33912:11539:2715:279
hockey	31016:15641:3680:426
vale	29266:16361:1571:352
vs.	31286:16508:852:220
dartmouth	32632:16405:3748:323
saturday	27785:17008:3142:441
evening,	31241:17052:2850:411
jan.	34360:17052:1436:338
19th.	36134:17052:1683:352
at	33710:26872:628:338 31779:38633:471:205 33530:28754:516:235 30770:17611:695:279
8:30	31779:17640:1211:249
p.	33306:17625:516:264
m.	34159:17625:650:279
all	29378:18052:1054:338
seats	30859:18066:1773:352
reserved	33059:18081:3119:352
$1.00	29984:18610:1840:411
$1.50	33732:18640:1840:396
■—a	34720:20433:3972:602
emil	28884:21036:2446:646
jannings	31959:21080:4735:793
patriot"	32318:22756:4309:646
an	29490:23682:807:264 30410:24270:628:176
exceptional	30702:23711:3074:323
picture	34159:23726:1907:323
on	29445:24255:628:176 30612:26019:785:352 34159:28342:628:161
unusual	31376:24197:2087:264
program	33799:24299:2311:220
little	30366:25182:2715:632
lincoln	31824:26019:2019:367
tonight	30478:26769:2850:514
8	34697:26843:471:382
every	30253:27548:1481:220
evening	32094:27475:2064:338
through	34495:27475:2154:352
sunday,	29872:27813:2109:352
january	32363:27842:2154:338
20.	34922:27886:785:249
with	28099:28180:1144:279
feature	29558:28180:1907:308
starting	31802:28239:2042:323
hour	36223:28254:1256:279
mat.	30051:28666:1189:279
today	31555:28680:1683:352
2:45	34338:28739:1211:249
admission	27807:29283:4825:455
50c	36650:29386:1211:411
■■■■■■■■■■mmbgl	27381:29871:11401:852
0	27964:31753:1862:1631
dance	31824:31503:3770:514
lovers'	31802:32238:4600:529
paradise	31757:32899:5565:602
sheraton	28907:33884:4825:455
room	34024:33943:2670:426
copley	29647:34649:3142:352
plaza	33261:34663:2670:382
boston	31667:35310:2289:352
a	28009:36119:471:279
glorious	28795:36119:2154:338
dancing	31263:36133:2087:367
salon—a	33665:36148:2379:308
floor	36336:36163:1234:308
that	28996:36501:1032:279
one	30433:36633:920:161
delights	31735:36530:2087:338
tread.	35079:36545:1503:308
tea	27807:37148:942:279
dances,	29019:37148:2087:338
wednesdays	31398:37162:3299:352
saturdays,	36201:37192:1369:294 30298:37530:1324:352
4:30	31869:37559:1234:279
7:00	34114:37589:1211:249
supper	27785:38162:1885:352
dances	29939:38162:1930:308
nightly,	32116:38192:2042:352
commencing	34450:38236:3366:323
9:00	32610:38588:1234:279
meyer	28435:39279:1705:426
davis	30478:39294:1503:352
le	32341:39294:650:352
paradis	33351:39294:2087:382
band	35752:39323:1436:367
joe	30096:39853:897:411
smith,	31331:39867:1750:396
director	33395:39867:2154:367
guy	18403:42675:2782:632
lombardo	21702:42705:7137:690
and	29400:42807:2693:632 31577:56023:965:352 33777:52407:987:323 26146:51907:1009:338 21635:59698:1885:411 31398:51378:965:338 25944:50863:987:338
his	32722:51378:875:338 32677:42822:2019:632 32812:56038:852:338
i	38311:42131:448:1323 25608:51892:112:338
royal	20221:43792:4466:661
canadians	25406:43851:7383:676
j	38311:43395:426:1617
one	17550:45013:1234:264 28413:45674:1256:264
of	25742:46497:1436:470 19189:45013:807:279 18874:53892:830:352
the	27627:46512:2221:485 27695:54406:1009:352 20356:45027:1256:279
country's	22017:45042:3523:294
most	25899:45086:1750:264
popular	28009:45101:2984:294
orchestras	31398:45130:4152:294
in	19795:45586:605:279 20468:59713:852:396
a	26887:47394:785:485 23834:55979:448:323 18650:55950:448:352 20715:45601:448:264
new	21478:45601:1391:294
record	23184:45630:2536:279
every	26034:45645:2064:279
will	30006:45674:1526:294
like	31847:45703:1391:279
"the	18830:46439:2850:499
spell	22017:46483:3321:485
blues"	30208:46527:4017:499
"high	19368:47365:3433:499
up	23184:47379:1458:485
on	25002:47394:1548:485 28435:61066:942:279 31106:51040:650:205
hill-top"	28031:47423:5678:499
today's	19278:49526:4152:793
columbia	24059:49570:5049:646
release	29715:49614:4084:617
tschaikowskiana—	16495:50805:7047:382
parts	23543:50849:1436:338 23790:51878:1391:352
1	25383:50863:112:338
2—(fantasy	27246:50878:3546:426
tschaikowsky	32071:50907:2827:338 17909:51275:875:411
themes)	19121:51275:2356:441
paul	26662:51348:1234:323
whiteman	28233:51348:2782:352
orchestra	33934:54436:2625:367 33934:51378:2648:338 33934:56038:2625:338
two	16495:51834:1458:367
black	18269:51848:2154:352
crows—	20737:51863:3029:367
2—comedy	27448:51907:3254:411
sketch	31016:51922:1840:352
moran	31667:52407:1773:323
mack	35079:52407:1526:338
mia	16518:53304:1211:352
bella	18022:53318:2064:352
rosa	20423:53333:1728:352
sally	16495:53877:2042:352
my	20086:53892:942:352 16495:55376:965:352
rose—	21366:53906:2401:352
from	23027:57567:1256:352 22353:57008:1279:338 23812:53906:1234:352
"mother	25450:53921:2289:352
knows	28099:53950:1817:338
best"	30253:53950:1503:352
benson	29086:54421:1930:352
all	31353:54436:740:352
star	32475:54436:1122:338
suppressed	17797:55391:4152:352
desire	22241:55406:2311:338
what	21680:55964:1930:338 16495:55950:1930:352
girl!	19346:55950:1773:352
night!	24530:55979:2244:352
verne	28031:55979:1615:367
buck	29917:55994:1369:367
chopinata	16473:56993:3770:352
(airs	21321:57567:1346:411 20648:56993:1346:411
chopin)—	23969:57008:2984:426
piano	26977:57008:1571:352
solo	28884:57038:1189:323
wagnereske	16473:57552:4443:367
wagner)	24598:57567:2401:426
clement	32139:57611:2199:352
doucet	34675:57626:1885:367
come	17640:59698:2513:411
hear	23834:59713:2491:411
these	26640:59713:2760:411
records	29760:59713:4062:426
at	34136:59728:1234:411
established	19413:61036:3007:220
isoo.y	22623:61066:2334:352
ed	25159:61066:852:294
u	26146:61066:403:279
cati	26707:61066:1548:279
al	29490:61051:897:308
books.	30949:61036:2895:338
mmrm	19570:61977:3546:705
'	24104:61977:695:191
111	27066:62153:1211:441 25293:62153:1369:426
l	28323:62153:359:441 26707:62153:336:426
store.atc	28929:62153:5633:470
tmummoai	19458:62786:2491:205
•*».	22308:62786:1122:191
219-221	24081:62741:2581:249
elm	26977:62741:1167:249
st.	28413:62741:807:235
kew-haven.ct	29827:62653:4735:352
]■■■	52024:2043:1548:205
m--,^	61876:2043:1930:132
new	42014:18757:2379:632 40892:2749:4354:852 57500:59022:1975:411
victor	46121:2763:6777:896
records	53797:2822:8685:896
-out	44123:4233:5521:661
today//ear	46143:5674:2334:499 50946:4263:7181:690
them	48926:5689:2536:499
at	51844:5792:897:396 43495:35707:493:205 44752:35119:673:294
steinert's	53101:5703:4331:485
how	42305:6776:1548:279
about	44168:6776:2177:279
me?	46682:6791:1189:279
(irving	48298:6791:1862:352
berlin)	50475:6806:1817:338
morton	56826:6821:1930:279 56826:7291:1907:264
downey	59116:6821:2109:352 59116:7306:2132:338
i'm	42305:7247:852:279
sorry,	43495:7247:2199:323
sally	46054:7247:1930:294
evenin'	42261:7908:2446:279
the	57634:7952:1009:279 41453:31620:807:279 52540:28430:1054:279 49308:9070:1234:279 54739:60184:785:338 57634:8423:1032:264 55031:12436:763:279 54133:35590:1234:264 54156:13671:807:264 52674:29195:1054:279 56378:33605:1256:264 45111:9040:1234:264 53886:42660:1009:279
revelers	58981:7967:2266:279 59003:8423:2266:279
comin'	42305:8379:2177:279
home	44864:8379:1840:279
me	42261:9026:875:264
and	56108:13201:897:279 40420:30871:965:338 43540:27519:1279:411 57477:32003:965:279 44101:51481:965:338 57500:30871:942:279 43473:9026:1301:279 54088:56376:942:279 56018:9452:942:279 56265:31635:965:279 40375:33120:965:279 56018:29944:942:264 53348:28842:942:235 56018:10305:942:264 56086:14435:942:264 56580:27122:1324:264 55727:60933:942:338
man	46682:9040:1391:294
in	60844:41146:493:323 55749:32796:471:249 48388:9055:561:279 54986:43675:471:294 60440:31253:448:264 51485:54568:471:279
moon—fox	50856:9070:3613:279
trot	51552:12421:1211:308 51193:11789:1167:279 50812:13671:1167:279 54784:9070:1167:279 56647:10951:1189:264 52383:9908:1189:294
ted	52338:9452:1009:279 52338:10305:1009:264
weems	53729:9452:1907:279 53729:10305:1907:264
his	57388:14435:852:264 57388:10319:852:264 57388:13215:852:264 57388:9452:852:279
orchestra	58622:13215:2648:279 58622:11319:2648:294 58622:10319:2648:264 58622:14450:2625:279 58510:46100:3815:279 58622:9452:2625:294 58622:11789:2648:294
my	42283:9878:920:279 42283:10893:920:279
troubles	43517:9878:3209:279
are	47064:9908:1234:264 47804:10922:1234:279
over—fox	48635:9908:3411:294
blackbirds	43540:10893:3882:308
bluebirds	49398:10937:3299:279
now—fox	53056:10951:3209:264
jean	53774:11304:1167:352 53729:11775:1167:338
goldkette's	55278:11319:2984:294
don't	42305:11760:1930:264
be	44595:11760:695:264
like	45627:11760:1369:264
that—fox	47355:11775:3456:294
goldkette"s	55255:11789:3007:294
a	52562:34458:426:279 47198:12421:426:264 44146:40970:561:161 40398:33693:403:249 44460:56376:426:264 45088:46130:269:147 60597:35590:448:264 54829:35207:426:279 54290:34075:448:264 42305:12421:426:249
room	43024:12407:1885:264
with	53033:60198:1256:338 40398:30209:1144:352 55525:42219:1122:235 56378:29548:1122:279 42889:26857:1593:426 45223:12421:1660:264
view—fox	47939:12421:3344:294
(from	53168:12436:1503:338 52338:13671:1503:308
musical	52562:32399:1997:264 56131:12436:1997:294 55255:13656:1997:294
comedy,	57545:13686:2311:338 58465:12451:1054:279 43697:12774:1054:352
"this	45178:12789:1481:294 43675:14009:1458:279
year	45448:14024:1234:264 47019:12789:1234:294
of	46996:14039:471:249 56198:34443:493:294 57545:34075:807:264 48635:12804:493:279 57926:41602:1122:426
grace")	47759:14039:2177:338 49465:12818:2177:338
noel	52113:12818:1167:279
coward)	52181:14039:2334:338 53684:12818:2334:338
roger	50430:14421:1593:338 50430:13201:1593:338
wolfe	52405:13201:1548:279 52383:14421:1571:279
kahn	54313:14421:1436:279 54313:13201:1436:279
dance	42283:13642:2154:264
little	44729:13642:2109:264
lady—fox	47131:13642:3388:294
(noel	50408:14053:1458:323
m.	40892:15391:2132:882
steinerts	43742:15420:8393:882
&	49420:57905:448:352 52629:15435:1683:867
sons	54807:15435:4309:882
co.	59811:15464:2738:882
183	48253:16861:1301:396
church	50116:16832:2603:426
street	53280:16832:2109:426
tuxedos	44954:18772:4488:632
—dress	49443:18787:4062:617
suits	54043:18772:2536:632
pi	60507:18625:2019:1102
—cutaways	43719:19610:6351:779
