president	2920:25270:2403:317
cuba,	6560:25270:1415:347
done	9548:25270:1145:272
country	2785:25814:1909:287
will	6178:25754:943:287
be	7436:25754:516:287
help	10604:25724:1055:362
improving	1729:26253:1999:347 12716:25709:561:302
economic,	4313:26223:2448:362
industrial,	7369:26207:2516:362
conditions	3527:26706:2538:317
there.	6402:26706:1392:302
details	2336:27190:1797:317
proposed	6672:27175:2246:362
debate	9346:27175:1572:287
considering	6739:27643:2898:362
regard	10986:27643:1662:362
invitation	2853:28157:2403:287
extended	5571:28142:2224:302
porto	3751:28626:1437:317
rico	5504:28611:1145:317
completely	10851:28595:2673:347
decided	1729:29109:1887:317
upon.	3931:29200:1325:256
appointments	15367:2115:3841:332
for	19568:2146:763:287
medical	20714:2146:2066:287
exams.	23140:2146:1909:287
the	14895:2886:988:272 18108:3854:741:302
following	16288:2886:2381:362
men	19074:2992:988:196
are	20467:3007:763:196
to	21635:2962:449:241
report	22511:2962:1527:302
at'	24421:2962:539:241
109	25297:2901:741:302
college	14333:3355:1864:347
street	16580:3355:1505:302
today	18422:3385:1370:347
for	20130:3385:718:287
their	21208:3385:1190:287
medical	22781:3385:1954:287
examinations	25117:3385:629:287 14311:3823:2718:302
at	17366:3899:426:241
time	19186:3854:1078:302
indicated.	20579:3854:2358:302
b:3o—r.	14872:4307:2246:302
n.	17546:4322:561:302
fowler,	18557:4322:1932:362
1930.	14356:13874:1145:287 22241:11970:1190:287 20961:4337:1168:302 19680:10066:1168:272
b:5o—r.	14872:4776:2246:302
a.	17523:12922:561:272 23522:15295:561:287 17456:4806:539:272 22826:11501:584:272 23926:12922:561:272
lester,	18332:4806:1729:347
1929.	20062:6242:1190:302 20669:12438:1168:302 20377:4821:1190:287 14356:9083:1168:302 21500:6725:1190:287 14333:11003:1168:287 20354:14811:1213:302
9:15—j.-l.	14872:5244:3100:377
l.	18467:5289:494:287 17434:10519:471:302
goldstone,	19456:5289:2628:332
1930;	16220:11970:1280:332 22601:5289:1325:362 15816:13391:1303:347 20714:8630:1303:347 20961:13406:1303:332 21118:11501:1325:332 14356:10050:1280:332 21298:12922:1303:332 20489:10534:1325:347
t.	16849:6227:539:287 17568:15295:539:287 24443:5289:539:302
d.	23702:8630:584:287 17726:6242:584:287 25477:5289:561:287
pendleton,	14356:5743:2628:347
1932.	17411:5743:1190:302
10:40—	14895:6227:1954:287
gill,	18647:6242:1055:347 25005:9582:1033:332
11:15—x.	14917:6695:2538:302
s.	18714:11970:426:272 22691:14343:471:302 23814:11486:449:302 17883:6710:471:287
gillespie,	18782:6710:2291:362 23769:7662:2269:362
i:l5—a.	14895:7164:2246:317
gordon,	17523:7179:1999:362
1931.	19927:7194:1190:302 15816:15764:1168:302 14356:8146:1168:272
i:3o—r.	14895:7662:2224:287
fuld,	17591:7662:1280:347
1931;	21185:9582:1303:332 19343:7662:1347:347
r.	21298:7677:539:287
w.	22331:15295:741:287 22421:7677:763:287 22489:8630:741:287 17591:9582:763:287
i:45—t.	14917:8584:2201:332
m.	16400:14826:651:272 17591:8615:629:302 22286:10534:651:287
folds,	18714:8615:1505:362
geer,	24758:8615:1280:362
2:oo—p.	14872:9567:2224:302
cooley,	18849:9582:1842:347
c.	23028:12922:494:287 21657:14343:494:302 23028:9582:494:302
f.	24016:9582:494:287
j.	16018:10050:381:347 17905:11970:381:347 17478:14826:381:347 17478:13406:381:332 22578:13391:404:347
e.	17478:11486:516:272 16804:10050:516:272
grace,	24443:10519:1595:332 17703:10050:1572:362
2:3o—j.	14872:10519:2089:347
glynn,	18377:10519:1640:362
h.	23387:10534:606:302 17434:12438:584:287
2:5o—f.	14872:11471:2179:302
gignoux,	18400:11486:2291:347
goldsmith,	24668:11486:1100:287 14311:11955:1482:347
graetzer,	19523:11970:2314:347
3:oo—g.	14872:12423:2224:302
gilman,	18377:12423:1932:362
3:l5—r.	14872:12892:2246:302
goodwin,	18489:12922:2358:332
graham,	14311:13406:1168:317 24892:12907:876:302
b.	18220:13406:494:272
grant,	19029:13391:1572:347
p.	23320:13391:494:287
graves,	24174:13391:1864:347
3:3o—s.	14872:14343:2179:302
green,	17613:14343:1595:347
