so	18044:7801:488:189 18600:6690:466:189 14422:15894:622:277
little	19333:6603:1155:277
way	22511:6676:977:248
make	16267:6968:1288:277
his	17889:6968:666:277 14444:16639:866:277
statement	18889:7026:2377:219
true.	21600:7012:1111:233
but	23333:6953:888:277
long	18844:7713:1044:336 14400:7348:1066:336
run	15867:7435:822:175
there	14400:15149:1244:277 20978:12928:1244:262 14955:14404:1488:292 14400:13659:1244:292 24556:11044:1511:277 17111:7348:1266:262 14978:8823:1466:277
an	19578:7435:555:175 22667:10021:555:175
uncanny	20556:7421:2044:248
averages	14378:7801:2177:248
and	18044:17019:844:262 16867:7713:844:277 25222:14784:866:277
as	16622:15996:488:175 19000:12534:644:292 20222:7801:488:189
we	25400:11511:666:189 21022:7801:666:189
try	21978:7757:733:277
rank	23800:7684:1133:292
our	25245:7786:800:189
order	16467:8093:1333:262
more	15822:13381:1222:189 22578:8166:1222:175
convenient	24133:8166:1644:175 14400:8458:888:277
than	16311:12548:1066:277 25022:13279:1066:292 15689:8458:1066:277
change	19778:14754:1711:365 19956:8809:1733:350
level.	22956:8809:1244:277
two	24911:8809:1155:277
hundred	14378:9203:2044:262
represents	20000:9627:2533:262 16844:9232:2533:306
passing	20489:9188:1844:350 24245:9539:1800:336 14355:11044:1844:350
mark,	22733:9188:1444:292
not	24600:9218:800:248 17978:14448:777:233
job	14378:9554:777:336
half	15644:9554:933:292
done.	17067:9568:1244:277
mark	16578:11058:1311:262 14378:9948:1311:262
each	16844:9933:1088:277
course	18311:10021:1577:189
whether	20289:9948:2000:262
instructor	23667:16639:2422:292 23622:9933:2422:262
requires	14378:10299:1977:350
perfection	16644:10299:2488:350
pass	20133:10401:1000:233
mere	22200:10386:1222:204
mediocrity.	23689:10284:2133:292 14355:10737:600:262
60	21667:10664:533:292
any	23511:10766:844:233
other	24778:10664:1288:277
arbitrarily	18533:11044:2622:350
adopted.	21845:11058:2022:336
was	16778:14491:888:189 22022:14871:933:189 14355:11511:955:189
fear	15778:11424:955:277
