100	40049:51367:754:209
per	41092:51352:799:224
cent	42180:51352:1043:239
rating	43534:51367:1554:254
board	46243:51367:1398:239
health	48729:51397:1509:224
green	53635:51262:1465:284
olives	55389:51262:1576:299
celery	60295:51262:1598:359
soups	56699:52326:2086:299
rub	39760:52580:1043:284
hair	43157:52610:1176:284
down	44844:52625:1487:299
r-\	52769:52790:488:134
•i	53524:52775:488:149
r~	55167:52790:355:134
r&gt;	57476:52790:377:134
nl	39716:52970:599:179
m	42801:53000:377:149
..	43778:53000:444:74
~,	45288:53015:643:134
""■"	46975:52805:1198:119
v\	49906:52805:821:344
chicken	52769:52805:1998:284
gumbo,	55167:52805:1887:344
creole	57476:52805:1598:284
oleaqua.	39716:53000:2353:314
nothing	42801:53000:2109:359
like	45266:53015:1154:314
market.	40803:53359:2020:299
at:	44866:53479:732:209
//?	48196:53284:888:479
-j	50283:53284:577:569
consomme	57276:53284:2708:299
en	60384:53389:532:194
tasse	61339:53299:1420:284
co-op.	42757:53958:2086:299
corp.	45244:53988:1820:284
tr^w"	56632:53823:2286:539
frappier's	39649:54317:3485:314
barber	43556:54347:2397:314 42646:54737:2397:299
sm	57676:54228:865:224
t,.	60095:54632:1021:149
caked	52703:54647:1576:254
king	54656:54647:1287:329
