news	52612:41011:1390:260
reporter	54186:41026:1778:322
douglas	48747:41394:1758:322
halfwit	50689:41394:1717:306
was	52591:41471:817:199
biased	53634:41394:1369:291
and	55208:41409:756:276
misleading	48747:41777:2474:337
kecher	51691:41777:1533:276
announced	53675:41793:2269:276
his	48726:42176:592:260
intention	49728:42176:1860:276
to	51998:42192:347:260
write	52734:42176:1104:276
an	54247:42192:797:260
in	55454:42176:490:276
depth	48726:42544:1329:352
objective	50362:42606:1962:322
,	52489:42790:61:76
piece	52939:42560:1104:337
on	54431:42636:470:199
the	55311:42560:633:276
entire	48726:42943:1267:276
issue	50158:42943:1472:276
in	51814:42958:347:260
a	52325:43020:224:199
special	52734:42958:1513:306
yellow	54411:42958:1533:306
meanwhile	41324:41011:2351:276
the	44064:41011:654:276
potent	45107:41011:1349:337
news	46702:41011:1390:260
contingent	40875:41425:2269:337
racked	43430:41409:1472:276
up	45189:41486:490:260
numerous	45986:41471:2106:214
points	40875:41808:1410:337
rolling	42735:41808:1390:337
relentlessly	44576:41793:2474:337
on	47479:41870:613:199
ward	40875:42192:1206:291
late	42388:42207:940:260
in	43635:42192:347:276
the	44289:42192:633:276
first	45209:42192:879:260
chukker	46355:42192:1738:260
the	40895:42590:613:276
newsies	41958:42590:2003:276
forced	44432:42575:1349:291
the	46232:42575:654:276
ball	47336:42560:756:291
through	40875:42974:1676:291
the	42735:42974:633:276
double	43533:42974:1410:276
glass	45107:42974:1124:291
entry	46395:42989:1124:276
at	47704:42974:388:260
the	41304:38265:817:276
conflict	42285:38265:1574:291
degenerated	44023:38265:2678:352
as	46866:38342:449:199
the	47479:38265:613:276
police	40875:38664:1267:337
jailed	42265:38664:1226:337
the	43635:38664:654:276
remaining	44432:38664:2249:337
bsay	46845:38664:1247:260
players	40875:39063:1901:337
university	43267:39063:2474:322
officials	46191:39048:1901:276
awarded	41018:39492:1881:260
the	43124:39477:654:276
police	44167:39446:1247:352
minus	45741:39446:1288:276
two	47377:39462:715:260
points	40875:39860:1410:322
and	42592:39845:777:276
set	43635:39860:613:260
up	44535:39906:490:276
a	45332:39906:224:199
sensitivity	45802:39830:2249:352
training	40895:40244:1717:337
program	42797:40305:1860:276
for	44882:40228:572:276
next	45659:40244:920:260
years	46784:40228:1308:337
game	40875:40689:1308:260
the	41304:35903:817:276
opening	42347:35919:1676:352
gun	44248:35980:756:276
was	45271:35980:838:199
fired	46355:35903:1022:276
by	47622:35903:470:337
the	40895:36318:633:260
representatives	41836:36302:3414:352
of	45516:36287:388:291
the	46232:36302:633:276
new	47193:36302:899:260
haven	40895:36701:1472:276
police	43022:36701:1431:276
department	45107:36686:2985:352
unfortunately	40895:37100:3026:337
the	44105:37100:654:276
shot	44923:37084:858:291
wiped	46007:37084:1247:352
out	47479:37100:613:260
half	40875:37483:838:276
of	41958:37483:429:276
the	42674:37483:633:276
secondary	43615:37483:2208:322
from	46130:37468:1022:291
the	47479:37468:613:276
bsay	40915:37882:1369:245
after	41324:33173:1104:276
the	42735:33173:654:276
game	43717:33235:1185:291
chump	45230:33173:1533:337
com	47091:33250:1001:199
mented	40895:33557:1717:337
me	42960:33572:920:260
an	44187:33557:633:276
th'udder	45169:33557:1819:276
refs	47316:33557:777:260
wuz	40875:34048:838:184
happy	41836:33971:1308:337
to	43287:33986:368:245
pick	43799:33956:879:352
up	44821:34032:511:276
those	45455:33956:1124:276
coupla	46723:33956:1369:337
bucks	40895:34339:1329:291
after	42510:34339:1104:276
all	43839:34339:654:322
we	44739:34416:592:199
had	45557:34339:797:291
ta	46600:34354:388:260
dish	47254:34339:838:276
out	40854:34753:674:260
a	41876:34830:224:184
lot	42490:34738:511:276
of	43349:34738:408:276
money	44085:34814:1431:260
to	45864:34738:368:276
the	46355:34738:654:276
refs	47234:34738:817:276
ourselves	40875:35137:2065:260
last	43165:35137:756:260
fall	44167:35121:1104:276
another	41304:29661:1738:291
rift	43287:29661:674:276
in	44228:29661:368:276
the	44882:29661:654:276
committee	45782:29661:2310:276
continued	40854:30060:2106:276
to	43185:30091:368:245
hold	43758:30060:899:276
up	44862:30137:490:260
the	45557:30060:654:276
contest	46436:30075:1635:260
the	40854:30428:858:306
captains	42122:30443:1983:352
presented	44535:30443:2269:352
five	47254:30428:838:276
separate	40854:30858:1881:322
proposals	42878:30842:2065:337
for	45107:30842:592:260
calling	45864:30842:1451:337
the	47479:30842:613:260
toss	40875:31256:817:245
of	41917:31226:408:291
the	42551:31226:633:276
coin	43410:31226:1022:322
