'	50354:57433:1176:556
furniture	9844:62767:4791:602
g	40488:49796:718:401
games	35239:46457:2526:386
garments	53207:7807:2962:463
gay	43646:7065:1960:386
gentlemen	37330:6524:3179:355
given	18207:34831:2047:525
gkfflh	50463:56784:1938:602
glee	9408:47755:1154:293
gloves	23086:60371:3266:680
golf	20843:30889:1589:432 52380:47292:1132:293 57302:52347:1611:309 26440:29806:1568:401
golfing	50594:7003:2265:556
goods	56322:58176:1546:278
gp	60830:58686:2504:556
graduate	36480:35001:3506:510
great	10410:30719:2112:541
grinnell	44321:52703:3201:479 33758:49162:2983:417
gt	13764:5024:827:541
h	53926:60804:1023:711
half-gal	25329:12012:3811:371
hall	22759:38108:1589:401 21757:52471:1742:463 40793:36995:1589:401 41316:5782:1328:371 42927:27688:1568:401 7339:10512:2896:479
handsome	24458:5704:3049:340
hapel	9822:23978:1677:510
has	30861:29837:1263:417 39290:32728:1219:401 19928:27797:1241:401
have	30382:25880:1742:417 8755:47261:1241:278 18207:48668:1764:401 19122:5704:1415:293 19841:45576:1764:401
haven	57258:19680:3158:649 11238:24844:3179:401 32255:21767:2417:479 43341:63432:2461:371 25068:1329:3985:602 11630:5024:1742:541 30469:14857:2199:479 23326:29775:2352:417
held	42971:41278:1568:417 22694:51899:1589:417 28487:46782:1611:417
henry	37461:48065:2373:525
her	22607:40072:1219:401
herald	23739:38943:2570:401
his	39573:33872:1088:417
hoadley	3332:49008:2940:494
hoimf	21714:4684:2722:293
hold	40314:25941:1655:432
home	40967:33888:2025:432
hote	35261:4467:1132:324
house	41250:63788:2504:386
humn	34607:13558:4791:680
hurry	12937:30719:2461:494
hyperion	35653:26467:3550:541
i	40227:52641:435:401 52728:57758:261:231 58739:12878:653:850 4421:21334:566:510 2570:26622:108:92
i®o2	56561:63664:2090:448
iar	18229:41185:1132:417
if	3767:30734:631:510 3746:27611:653:494
illinois	36894:47477:2831:494 23696:50399:2722:417
in	4530:26560:348:170 6925:26544:348:170 5728:26560:370:154 8123:26544:348:154 5640:47245:500:293 24850:51899:696:417 24197:12491:653:293 20995:40072:1306:386 62268:49487:479:293 43493:33903:675:417 8298:27580:718:401 56540:7838:631:432 22694:50384:675:401 35653:59088:784:525 56235:8348:588:432 55407:48884:479:278 36219:10806:1132:479 45127:41293:696:417 25874:33733:653:401 20581:6957:544:293 56932:47879:457:293 8298:30719:718:417 19405:6075:566:309 46978:36501:696:417 59436:45004:762:386 7971:8889:762:340
indoor	48764:50353:1633:293
information	34542:32682:4464:448
intention	28705:53074:3354:432
intercollegi	43014:42422:4268:572
intercollegiate	42143:40706:5488:556
invited	23870:45591:2635:417
invites	44016:38758:2482:432
iowa	37853:49734:2243:587
is	22324:37521:566:417 57215:49920:392:293 43559:30224:566:432 23304:6462:457:293
island	29816:46240:2308:401
it	35980:41757:500:417 19057:27797:588:386 6925:35759:413:340 44016:6555:588:309 24175:36964:544:417
its	4486:35140:871:340
j	33693:51435:522:510 4138:2720:784:602 23369:15861:348:432
j&m	61440:47199:1981:695
jackson	43385:52115:3136:494
january	33758:33826:3049:525 34716:1375:5205:525
jc	35914:63633:1197:432
jin	58173:58036:718:432
john	22215:34846:1785:525 41076:7049:2265:309
joint	33736:43458:1764:525
jsjfflmji	50659:58036:2330:602
just	40771:32744:1393:525
kappa	18229:34274:2461:525
kleiner	5510:21303:5314:541
km	61505:56027:1132:494
ktttjwfttttf	48851:15011:8058:1808
l	52989:2999:1088:757 42797:33347:718:417 39094:52625:718:401 43559:48714:718:386
l>urry	10301:27580:2221:494
lake	33714:52579:1851:401
lakmbing	54122:35372:6272:1097
largest	53643:56892:1894:371
latest	58892:7869:2003:448
leaders	60373:49472:1785:309
leading	6925:8363:3484:479
leave	18752:15831:1393:448
leaves	39987:34444:2330:432
lecture	22759:33702:2591:432
left	29838:31801:1263:401 19362:32852:1285:417
length	41207:29621:2591:587
lewis	41751:46967:2395:494
light	9387:33718:1502:448
living	33780:34955:2156:556
ll.d	37308:35573:2526:479
log	34629:24024:6163:865
london	53948:6555:2199:432 50594:8271:2177:432
long	27246:46209:1981:541
los	4312:43349:805:293
lunch	33410:4962:1807:371
m	40488:46952:827:417 9321:26544:370:154 26832:52502:871:401 60329:60819:1154:711 44474:28291:827:401 62507:47013:914:293
made	20255:30332:1981:386
mailing	25090:43782:2809:525
majestic	32190:2550:7579:1267
maker	48895:4096:4225:633
man	45715:45421:1437:293 33780:35666:1742:355 18164:51992:1589:293
manufactur	55712:56908:3201:293
manufacture	48764:49843:3201:309
many	2090:47230:1502:386
marked	27072:32357:2831:417
market	3811:34383:2417:340
may	18229:43272:1589:417 26200:31894:1611:401 30513:32496:1568:401
meals	31036:4467:1720:355
meeting	43493:26003:3049:556 35783:43473:3070:541 36785:40072:3049:541 20930:51311:3049:556
mem	45541:50554:1568:293
member	23260:30363:3070:401
members	33758:39237:3419:401
men	31624:6570:1437:262 38049:27178:1568:309 20864:53166:1568:262
men's	55015:4174:3680:618
mi	3179:26560:500:170
mills	36176:25895:1742:432
minor	55690:60804:3920:819
minutes	37548:30734:3245:510 33714:31847:3158:432
mm	61200:44973:1851:432
more	9103:38510:1568:231
most	11761:35789:1611:293
motet	26418:2535:4704:958
mounted	58042:50476:2199:293
mr	34564:25895:1176:401
mufti	55080:5287:1677:448
n	35021:52022:762:401 45323:35666:784:401
natural	17815:11981:3375:355
necessities	52772:28461:10933:1468
nem	53643:55254:1045:386
ners	18229:42716:1568:293
new	54688:19634:2047:572 20843:29760:1677:401 18948:3911:1938:401 41294:63416:1698:371 38136:10822:2548:494 6686:42097:1045:262 21997:1329:2504:510 28770:14857:1437:432 9996:5024:1263:525 6272:6029:1263:293 8973:24859:1938:309 30426:21767:1546:386
next	20799:33749:1677:355
nicely	56213:50430:1698:386
ninety	18164:53012:2373:525
nn	43254:13527:1960:293
none	34302:6555:1437:247
north	29881:51976:2177:401 45127:47585:2090:401
northwestern	42100:51435:6425:618
note	18186:40087:1611:371
now	23456:37660:1568:293
number	25961:42082:2918:401
nvuoc	21714:4823:2983:262
o	8537:6029:566:293 42361:52100:740:401
obtained	21975:43179:3245:432 34956:27611:3223:417
o'clock	36568:37521:2787:494 33758:27039:2635:401
oenter	25133:14841:2069:463
