king	43061:56535:1640:562 45904:44078:1613:562
james	33437:44787:2241:437 45303:56556:2269:437
bible.	35980:44766:1968:458
first	35761:45474:1421:437
enacted	44838:45453:2706:458
by	33464:46141:820:583
charlotte	34530:46161:3226:437
sussman	37975:46161:3062:437 42268:46828:3280:458
lou	42815:46161:1285:437
weeks,	44318:46141:2405:541 33464:47536:2788:541
wonderfully	33464:46828:4483:583
playful.	38659:46828:2870:583
overcoming	37155:47536:4784:562
tremendous	42787:47516:4757:458
obstacles,	33464:48224:3390:562
create	37565:48245:2159:437
comfortable	41475:48203:4155:479
arousing	33464:48932:3007:541
intercourse	36882:48932:3937:437
pulls	43006:48911:1613:562
audience	46506:49036:710:333 33492:49619:2214:437
into	36089:49619:1257:458
lilting,	39124:49619:2241:541
deep	41721:49599:1613:562
rhythms	43662:49619:2898:541
poem.	34804:50432:2050:437
tom	34202:51015:1558:437
augst	45603:53077:1968:541 36198:51015:1995:541
alexandra	40299:50973:3554:458
natapoff,	44318:50994:3198:562
performers	34886:51703:3909:541
second	41366:51661:2323:458
heterosexual	44018:51682:3198:458 33519:52390:1066:437
scene,	34886:52494:2105:437
are	46451:54577:1120:312 33574:61472:1148:333 44455:55973:1148:312 37292:52494:1148:333 38413:55952:1148:333 39370:60098:1120:333
not	38714:52411:1066:395
as	40053:52494:738:312
successful	41092:52369:3499:437
making	45822:52369:1312:437 33519:53077:1066:541 33574:56535:1011:541 45849:55848:1312:437
sound	38057:53057:1995:458
believable.	40272:53057:3663:458
but	44209:53077:1175:437
natapoff	35077:53744:3034:583
given	40272:53744:1831:562
themselves	42405:53744:3827:458
more	33546:54577:1804:312
difficult	37948:59285:2679:458 35624:54452:2679:437
tasks:	42295:54452:2050:562
they	44701:54452:1476:562
nearly	33546:55140:2241:562
naked.	36089:55140:2241:437
imagine	38741:55140:2816:541
yourself	41885:55140:2816:562
their	44018:59306:1859:437 45959:55161:1613:437
position:	33546:55848:2925:541
you	36827:55848:1339:437 43006:55973:1230:416 37921:57348:1230:416
exposed,	39807:55827:2925:562
reciting	39752:56535:2679:541
english,	33355:57202:2843:562
an	41256:57348:847:312
now,	45849:57244:1695:520
try	33601:57931:984:520
look	35761:57910:1367:437
comfortable.	37374:57910:4347:458
tough.	42022:57931:2351:541
mark	34284:58598:1831:437
gevisser	36690:58598:3034:458
rachel	42076:58619:2378:437
dretzin	45002:58639:2570:416
also	33574:59285:1367:437
tasks.	41338:59285:1968:458
expressions	33574:59973:3198:541 46560:59431:710:312
purely	40655:59973:2241:562
abstract	43033:59973:2870:479
and,	46095:59993:1449:541
for	33574:60660:984:437
dretzin,	35023:60681:2734:520
angry.	38221:60764:2187:458
these	40901:60681:1995:437
abstractions	43334:60681:4237:458
less	35077:61368:1285:437
powerful	36745:61368:3007:562
than	40163:61389:1531:437
steamy	45057:61410:2515:520
frame	38686:62056:2159:458
them.	41530:62077:1968:437
gevisser,	44264:62077:3308:520
however,	33574:62743:3089:541
has	36882:62764:1175:437
soothing	38823:62764:2870:541
accent	41858:62785:2269:416
enjoyable	33546:63431:2542:562 46560:62889:683:312
listen	37237:63431:1859:458
to.	39370:63493:792:395
rachel	49759:37037:2405:437
chapman	52411:37037:3280:562
and	52110:49515:1230:458 55938:37037:1230:458 53614:52994:1257:437 57578:37746:1230:437 54708:40495:1230:479
aliss	57414:37058:1640:437
naude	59328:37058:2187:437
are,	61734:37162:1339:437
respectively,	49048:37725:4429:562
a	59547:62889:355:312 62691:58681:355:333 62718:62202:382:312 55528:43412:382:312 53942:37850:355:333 62718:47620:355:312 59027:42037:382:333 59246:37850:382:354 50798:54494:410:312 53669:52432:355:312
dancer	54762:37725:2378:458
sculptor.	60094:37746:2952:562
these	49048:38412:2050:437
two	53395:58556:1202:437 51400:38433:1202:437
talents	52931:38412:2296:458
define	55583:38412:2077:458
their	52985:39121:1613:437 51017:53682:1613:437 57907:51640:1585:437 58016:38433:1585:437
means	59930:38558:2214:333
of	56540:48161:628:458 49048:45349:683:458 58809:42620:601:437 53149:60743:683:479 54188:50953:710:499 62472:38433:656:458 54188:47453:656:437 61816:58577:656:437 60914:61389:656:458
expressing	49048:39121:3718:562
inward	54844:39121:2378:437
love.	57414:39121:1558:458
chapman's	59246:39121:3855:583
performance	49076:39808:4429:562 51372:48140:4429:562
is	54134:39808:519:458 56157:60702:519:437 55938:46078:574:437 61242:56494:546:458 61980:47495:519:437 53259:55765:574:458
better	55309:39808:2023:458
than	57961:39808:1503:458
naude's.	60066:39829:2980:437
naude's	49076:40495:2788:458
actions	52056:40495:2433:479
dialogue	56157:40495:2898:583
are	59547:51078:1120:312 59246:40641:1120:333
detached	49048:41204:792:437 60586:40516:2159:458
and,	50087:41204:1476:541
therefore,	51864:41204:3335:541
not	60914:50994:1066:416 55501:41224:1038:437
convincing.	56840:41224:3882:541
dominique	49732:41912:3772:562
dibbell	53805:41891:2433:458
enacts	56540:41954:2214:416
pulsating,	59711:41933:3362:562
troubling	49076:42579:3116:562
scene	52548:42703:1886:333 58207:59368:1941:333 59082:56619:1886:333
at	62418:44078:683:374 54817:42641:656:395
the	55856:42599:1038:437 50798:50973:1202:374 49868:60743:1230:395 51509:55077:1038:416 50443:44682:1038:437 56403:61389:1285:437 55364:56473:1038:437 62062:45412:1038:437 49076:44662:1038:437 54954:55077:1066:437 59766:42620:1038:437 52602:59910:1066:458 52138:58535:1066:437 62090:61389:1038:437 53450:57160:1285:437 49076:56452:1066:437 59000:58556:1285:437 55118:57848:1066:437 60230:46786:1011:458 61816:46120:1285:416
end	57250:42599:1202:437
show.	61160:42641:1886:437
she	57141:43995:1120:437 54598:46078:1175:416 61980:43328:1148:437 49048:43287:1230:437
performs	50525:43287:3171:562
it	53970:43308:464:416 52329:55785:519:437
in	54161:57848:628:437 54680:43308:601:416 57250:50244:628:437
shallow	56157:43308:2624:458
pool.	59000:43328:1585:541
as	60887:43349:820:416
dreams	49048:43974:2597:437
about	51864:43974:1886:458
her	53970:43974:1120:458 55255:45370:1120:437
love,	55309:43995:1558:541
slowly	58453:44016:2159:562
laps	60832:44016:1394:562
water,	51782:44703:2187:520
forming	54298:44682:2761:562
radiating	57332:44682:3171:583
circles	60805:44724:2296:437
waves	49896:45474:2105:333
between	52220:45349:2816:458 49076:58514:2816:458
legs	56567:45370:1339:562
that	53067:46057:1367:458 58125:45391:1367:458
create	59684:45453:2159:395 56704:62806:2187:395
impression	49048:46057:3800:562
masturbating.	56704:46078:4839:583
dark,	49048:46724:1804:562
disturbed	51263:46745:3226:458
water	54844:46786:1995:416
mirrors	57168:46786:2679:437
anxious	61625:46932:1120:312 49048:47453:1367:437
character	50661:47453:3335:437
dibbell's	55036:47453:3034:458
part.	58289:47516:1613:520
hers	60148:47516:1613:416
good	49076:48140:1558:541
some	57879:48307:1804:312
difficult	51482:54369:2679:458 60367:48182:2734:458
passages.	49048:48932:3280:458
sachs	51400:52994:1968:437 49759:49536:1941:437
sterns	53669:49536:2187:458
