today.	24583:29920:1491:343
likewise	15587:30368:2004:298
declared	18037:30383:2070:283
there	21978:30398:1269:269
now	25051:30488:1046:194
rejuvenescence	16144:30832:3763:358
professor	14941:31788:2404:283
g.	17703:31803:489:283
l.	18549:31803:489:283
hendrickson	19373:31803:3228:283 14340:36989:3228:298
last	16344:35569:868:298 25207:31818:868:283
evening	18705:32281:1959:343
lowell,	14362:32730:1848:328
"salvete	18838:32745:2115:298
initiati,"	21288:32745:2160:358
delivered	17859:37004:2271:298 23804:32760:2271:298
eloquent	15164:33223:2093:328
latin,	17636:33223:1447:313
so	20798:33327:489:179
clearly	21666:33223:1692:343
simply	14362:33686:734:343 25007:33238:801:283
meaning	20909:33701:2093:343
be	16856:36526:512:298 23470:33716:512:269
understood	14362:34164:1269:283 24450:33716:1358:283
by	16077:34149:578:343
audience.	18282:34164:2271:298
extremely	23559:34179:2516:358
effective,	14340:34628:2204:328
gave	19684:34732:1157:254
ciceronian	14340:35091:712:283 23915:34658:1870:298
style	15342:35106:1135:343
resume	17235:35211:1781:194
yale-harvard	20019:35121:3585:298
relations	23893:35121:2160:298
200	17480:35584:846:283
years,	18593:35689:1447:239
omitting	21399:35599:2137:358
clay.	19640:36077:1002:328
candidates	23448:36077:2583:283
initiated	17747:36526:2026:298
prof.	24784:36556:1247:283
"charge"	21510:37019:2226:343
final	14340:37467:1024:283
ceremonial.	15743:37467:2872:283
yale	2494:2346:22:14
daily	2494:2346:22:14
news	2494:2346:22:14
"the	3785:4289:1202:224
oldest	5477:4274:1558:239
college	7504:4274:1803:239
daily"	9820:4289:1581:224
founded	4119:4588:1937:224
january	6569:4588:1892:254 9619:5156:1781:269
28,	9018:4588:578:254
1878	10198:4588:912:224
entered	2293:5156:1670:224
as	4230:5230:445:164
second	4921:5156:1380:224
class	6569:5156:1002:224
matter,	7838:5171:1514:254
2,	11690:5171:334:239
1910,	12336:5171:1068:239
at	5945:5484:400:179 1781:5484:356:179
the	11200:16350:623:209 11312:16066:623:224 2338:15184:801:224 12781:5425:645:239 2449:5455:623:209 3629:16619:623:224 3451:16335:601:224
post	3317:5440:912:224
office	4520:5440:1180:224
new	6635:5440:935:224
haven,	7860:5440:1514:283
conn.,	9686:5425:1336:283
under	11312:5440:1224:224
act	1825:5753:712:194
nf	2850:5724:423:224
march	7259:18816:1759:358 3651:5724:1313:224
3,	5344:5738:311:254
1878.	6034:5738:1068:224
lloyd	4008:6321:1202:254
hilton	5589:6306:1358:224
smith,	7370:6306:1380:269
chairman	9152:6306:2093:239 12136:16335:1113:224 1803:16693:868:149
joseph	2293:6590:1402:283
edwin	4141:6590:1358:224
lowes	5901:6590:1336:224
jr.,	11468:10880:712:283 11468:10611:712:254 5500:11448:712:283 6413:7726:712:283 7615:6590:734:269 7860:6874:734:269 5344:10312:668:269
business	8840:7726:1892:239 8751:6590:1892:224
manager	11044:6590:1892:269 11044:7726:1915:269
fred	2338:6874:979:239
albert	3741:6889:1380:224
simmons	5544:6874:1915:239
managing	8996:6874:2160:269
editor	11557:6874:1402:224 10555:7158:1358:239
erwin	3362:7158:1313:239
hall	5032:7158:868:239
steif,	6257:7158:1135:269
assignment	7727:7158:2494:283
paul	4342:7457:957:209
mellon,	5722:7457:1558:269
v	7749:7457:289:209
ice-chairman	8105:7442:2828:239
robert	2315:7726:1402:239
patterson	4052:7726:2048:239 9129:10611:2048:224
asst	7459:7741:935:224
editors	8105:10043:1714:209 6769:8309:1736:239 4386:17485:1848:298
g.	7704:9161:423:224 1825:8593:423:224
k.	2627:8608:467:209 5923:9460:489:224
costikyan,	3473:8593:2204:283
1929	6079:8608:912:209 11735:8608:935:209 4698:9176:957:224 5544:8892:912:224 11468:9176:957:224 12536:8877:912:239
h.	2583:11448:489:239 7704:10880:512:239 1848:12030:489:224 7682:8593:512:239 7704:12015:467:239
y.	8550:8593:445:224
z.	9352:8593:400:224
hyde,	10109:8593:1247:283
r.	1825:10611:445:224 1825:10312:445:239 1848:8877:423:254 7704:11746:423:209
c.	2672:8877:423:254
crisler,	3518:8877:1581:269
i.	7682:8877:311:239
n.	8350:8877:489:239
p.	1848:11448:400:239 7682:11448:423:239 9174:8877:423:239
stokes	9953:8877:1336:239
11,	11623:8877:556:269
w.	7682:12314:623:224 2627:10611:601:224 1848:12314:601:239 1825:9176:601:224 7704:11179:601:224
dodge.	2850:9176:1447:269
b.	2672:11179:423:224 8506:9176:445:224
