guard	18803:16945:1539:290
capital	24268:16930:1739:351
city	22127:22252:914:351 14365:17450:1048:367
ship	16818:17435:981:351
its	18045:17435:557:290
ponies	20454:17419:1539:351
to	22239:17481:446:229 22016:18918:468:244 19383:21350:468:244 18023:21824:468:259
new	22975:17419:1137:290
haven	24402:17404:1606:305
morning,	15681:17909:2208:367
opposition	20521:17909:2542:351
freebooters	24692:17909:1070:275 14342:18429:1806:290
ride	17911:18398:936:290
finest	20454:18398:1338:275
mounts	22172:18444:1806:229
stables	15904:18888:1650:290
an	18781:18979:557:183
attempt	19718:18918:1918:305
even	22863:18964:1115:198
up	24380:18964:557:244
series	14387:19377:1360:305
defeating	16885:19362:2319:351
visitors.	20499:19346:1962:305
such	23064:19346:1204:305
victory	14365:19928:1026:290 25138:19331:669:305
would	15681:19851:1516:321
retaliate	17510:19851:2074:290
for	19874:19851:736:275 25384:28049:736:305 18112:26152:736:290
fast	21971:19851:914:275
closely	24380:19836:1650:351
fought	14365:20356:1628:351
saturday	14409:20845:2230:336
c	21547:20799:379:305
players	22194:20799:1806:351
emerged	24291:20891:1472:275 14387:21319:535:305
12	17398:21304:513:290
11	20231:21289:468:290
win.	21101:21274:1026:305
contest	24313:21335:1739:244
reported	15658:21794:2096:351
one	19629:21870:825:198
most	22595:21809:1182:244
exciting	24068:21763:2007:367
brilliant	15614:22283:2007:290
played	18000:22268:1606:367
that	20789:22268:981:275
within	23421:22237:1583:305
recent	25384:22344:468:198 14387:22803:1026:259
years.	15725:22864:1449:275
major	14989:23246:1583:367
i.	18000:23231:334:305
gates,	18759:23231:1516:336
coach	20677:23216:1382:305
highly	24514:23216:1561:351
successful	14409:23736:2453:305
university	17197:23721:2676:351
captain	14431:25204:914:305 24291:23690:1784:367 24915:24669:892:351
eli	16528:24210:736:305
representatives.	17733:24195:3881:367
as	22506:24195:669:290
additional	23622:24179:2453:305
supports	14431:24745:2074:336
he	16774:24699:579:290
has	17621:24699:825:290
lieutenant	18737:24669:2676:321
burnes	21703:24669:1762:305
beuchler,	15814:25189:2342:351
both	19027:25174:1092:305
them	21502:25174:1226:305
experienced	23175:25158:2944:367
players.	14409:25678:1918:367
opposite	19138:25663:2052:351
end	21547:25663:847:275
armory,	14431:26275:959:244 24715:25648:1048:275
starting	15770:26152:1962:367
visitors,	20343:26137:2007:351
patterson	14431:26703:1539:244 25005:26122:825:290
no.	23064:26611:892:290 17309:26642:869:290
1,	18670:26626:356:367
hutzfeld	19473:26611:2208:305
2,	24402:26596:379:367
steiger	14454:27131:1806:367
back.	17487:27116:1249:305
all	14989:27621:780:290
trio	20588:27575:892:305
are	21815:27682:758:183
veteran	22908:27621:1851:259
players,	14431:28110:1918:336
having	16774:28095:1717:351
ridden	18915:28079:1561:290
yale	14454:29563:2029:642
will	16818:29563:1940:627
buy	19116:29548:1583:627
building	21079:29502:3658:657
from	15078:30419:2208:627
historical	17733:30404:4684:642
society	22885:30389:3256:657
university	14476:31796:3725:504
to	18781:31857:691:351
gain	20097:31765:1717:443
possession	22417:31765:3747:412
of	16149:32423:22:535
block	16194:32453:2052:458
bounded	18558:32438:3167:458
by	22060:32438:869:519
grove,	23287:32423:2386:504
wall,	15413:33142:1873:504
temple,	17621:33126:2855:519
and	20811:33111:1271:443
college.	22395:33111:2810:504
half	15011:34304:1672:336
million	17086:34289:2632:351
price	20120:34289:1896:336
rumored	22417:34273:3212:351
erection	14521:35298:2230:290
of	17153:35298:513:275 19517:35757:513:305 15190:35788:691:275
vanderbilt	18067:35283:2877:275
quadrangle,	21369:35252:3301:367
one	25116:35252:1048:290
the	16127:35788:847:275 20298:35757:825:305
largest	17242:35772:1985:351
proposed	21413:35742:2498:351
college	24202:35742:1962:336
building	15168:36262:2208:351
projects,	17733:36262:2364:336
to	20454:36308:490:229
be	21302:36231:624:290
made	22283:36231:1427:290
possible	24068:36231:2096:275
by	15190:36751:691:336
acquisition.	16261:36751:3234:336
according	15101:37715:2609:367
to	14565:53666:490:244 19584:53177:468:244 19227:45224:468:244 17978:37776:490:244 24871:39229:468:229 23421:51693:490:229 17153:42685:468:244 14565:49751:468:244 16796:48191:490:229 17487:44260:446:229 25808:47656:468:244
an	23421:39764:579:183 18737:37806:579:198
announcement	19606:37745:3546:259
issued	23465:37699:1472:290
yesterday	25250:37791:736:259 14543:38219:1583:351
by	22707:53590:579:351 15145:43710:691:351 17064:55563:557:367 21034:48696:579:351 14543:44704:602:351 16104:56052:557:351 17264:39688:602:351 16506:38219:557:351 23153:46157:579:336
the	15145:48711:981:305 15435:53620:758:290 22975:40666:758:275 14565:47166:736:275 14588:56542:736:305 24023:40162:981:275 18937:47640:736:290 25495:38189:736:290 17398:54599:981:290 16283:53131:981:290 21636:50653:981:321 18268:47151:736:275 17019:56067:736:290 19651:44199:758:290 24469:49675:758:290 21592:54095:758:290 16997:41171:758:275 15524:58209:736:275 25495:54095:758:259 23934:45163:758:290 24157:46157:736:275 22038:48696:758:290 20276:58209:736:275 25495:42609:758:290 19027:43710:758:290 18157:42624:758:305 20566:55089:758:275 24268:51648:736:275 19874:58683:736:305 22395:43695:758:290 25495:38678:736:290 21681:53116:736:290 17465:38219:758:290 20186:42135:758:290
officers	18625:38204:1739:290 23220:58163:1762:321
and	16127:64051:869:290 18893:52642:892:290 14565:42150:869:290 17822:47640:869:290 21837:44689:869:290 19183:60656:869:275 18960:58209:869:290 25406:58163:892:305 25406:56037:847:290 15658:41171:892:290 20766:38204:892:290 23465:55547:869:305
directors	14588:58683:2185:305 22841:56037:2208:305 22038:38189:2185:290
of	24692:54079:468:290 25785:54553:490:305 23934:56526:490:290 17532:47151:468:275 24335:42104:490:305 20789:54095:468:290 24625:38189:490:290 14610:58209:468:275 15948:45668:468:305 14565:52642:490:290 16930:40162:468:305 24514:42609:490:290 20008:48115:446:305 16707:50195:468:275
new	14543:38709:1182:290 18246:41140:1182:305 18759:54691:981:198 20320:49292:981:198
haven	19896:41140:1650:290 16104:38709:1650:290
colony	22038:41125:1762:367 18112:38693:1762:351
historical	21614:49185:2319:290 14565:51158:1606:305 20253:38678:2520:305 18112:56052:2342:305 25339:50638:691:305
society,	16729:58193:1784:351 23175:38663:1940:367 24291:41125:1962:367
society's	14543:39198:2074:367
building	20120:54584:2052:351 24826:47120:1204:305 18603:51158:2052:351 14565:47656:780:336 17019:39183:2029:367 24246:49185:2029:351
on	19428:39290:602:198 15859:50791:557:183 18357:49782:579:198
grove	20432:39168:1494:305
street	22328:39229:1360:244
is	23175:57689:356:290 24112:39168:356:290 23845:46631:356:290 16038:45178:356:305 22038:57031:334:290
be	14565:49216:535:290 15368:49705:535:290 25718:39168:513:290 24514:54569:557:290
purchased	14543:39703:2475:351
